id,AREA,AGE_ADJUSTED_CI_LOWER,AGE_ADJUSTED_CI_UPPER,AGE_ADJUSTED_RATE,COUNT,EVENT_TYPE,POPULATION,RACE,SEX,SITE,YEAR,CRUDE_CI_LOWER,CRUDE_CI_UPPER,CRUDE_RATE
1511,Alabama,4.7,5.3,5.0,1369,Mortality,23996935,All Races,Male and Female,Brain and Other Nervous System,2009-2013,5.4,6.0,5.7
1512,Alabama,5.7,7.2,6.4,331,Incidence,4785822,All Races,Male and Female,Brain and Other Nervous System,2010,6.2,7.7,6.9
1513,Alabama,4.5,5.8,5.1,274,Mortality,4785822,All Races,Male and Female,Brain and Other Nervous System,2010,5.1,6.4,5.7
1514,Alabama,5.6,7.0,6.2,329,Incidence,4801695,All Races,Male and Female,Brain and Other Nervous System,2011,6.1,7.6,6.9
1515,Alabama,4.2,5.4,4.8,263,Mortality,4801695,All Races,Male and Female,Brain and Other Nervous System,2011,4.8,6.2,5.5
1516,Alabama,6.7,8.2,7.4,392,Incidence,4817484,All Races,Male and Female,Brain and Other Nervous System,2012,7.4,9.0,8.1
1517,Alabama,4.2,5.4,4.8,266,Mortality,4817484,All Races,Male and Female,Brain and Other Nervous System,2012,4.9,6.2,5.5
1518,Alabama,5.9,7.3,6.6,349,Incidence,4833996,All Races,Male and Female,Brain and Other Nervous System,2013,6.5,8.0,7.2
1519,Alabama,4.7,5.9,5.3,298,Mortality,4833996,All Races,Male and Female,Brain and Other Nervous System,2013,5.5,6.9,6.2
1520,Alabama,8.8,11.5,10.1,237,Incidence,2293259,All Races,Male and Female,Cervix,1999,9.1,11.7,10.3
1521,Alabama,1.9,3.2,2.5,63,Mortality,2293259,All Races,Male and Female,Cervix,1999,2.1,3.5,2.7
1522,Alabama,8.7,11.3,10.0,238,Incidence,2302835,All Races,Male and Female,Cervix,2000,9.1,11.7,10.3
1523,Alabama,3.1,4.7,3.9,96,Mortality,2302835,All Races,Male and Female,Cervix,2000,3.4,5.1,4.2
1524,Alabama,8.5,11.1,9.7,232,Incidence,2309496,All Races,Male and Female,Cervix,2001,8.8,11.4,10.0
1525,Alabama,2.6,4.1,3.3,84,Mortality,2309496,All Races,Male and Female,Cervix,2001,2.9,4.5,3.6
1526,Alabama,9.6,12.3,10.8,261,Incidence,2314370,All Races,Male and Female,Cervix,2002,10.0,12.7,11.3
1527,Alabama,2.4,3.8,3.0,77,Mortality,2314370,All Races,Male and Female,Cervix,2002,2.6,4.2,3.3
1528,Alabama,7.4,9.8,8.5,204,Incidence,2324069,All Races,Male and Female,Cervix,2003,7.6,10.1,8.8
1529,Alabama,2.3,3.7,3.0,74,Mortality,2324069,All Races,Male and Female,Cervix,2003,2.5,4.0,3.2
1530,Alabama,7.2,9.6,8.3,199,Incidence,2337857,All Races,Male and Female,Cervix,2004,7.4,9.8,8.5
1531,Alabama,2.3,3.7,3.0,76,Mortality,2337857,All Races,Male and Female,Cervix,2004,2.6,4.1,3.3
1532,Alabama,6.9,9.3,8.0,196,Incidence,2354514,All Races,Male and Female,Cervix,2005,7.2,9.6,8.3
1533,Alabama,2.8,4.3,3.5,92,Mortality,2354514,All Races,Male and Female,Cervix,2005,3.1,4.8,3.9
1534,Alabama,6.9,9.3,8.0,198,Incidence,2385480,All Races,Male and Female,Cervix,2006,7.2,9.5,8.3
1535,Alabama,2.1,3.4,2.7,72,Mortality,2385480,All Races,Male and Female,Cervix,2006,2.4,3.8,3.0
1536,Alabama,8.5,11.0,9.7,237,Incidence,2407275,All Races,Male and Female,Cervix,2007,8.6,11.2,9.8
1537,Alabama,2.4,3.8,3.0,83,Mortality,2407275,All Races,Male and Female,Cervix,2007,2.7,4.3,3.4
1538,Alabama,7.0,9.3,8.1,197,Incidence,2430257,All Races,Male and Female,Cervix,2008,7.0,9.3,8.1
1539,Alabama,2.5,3.9,3.2,82,Mortality,2430257,All Races,Male and Female,Cervix,2008,2.7,4.2,3.4
1540,Alabama,8.1,10.5,9.2,235,Incidence,2448159,All Races,Male and Female,Cervix,2009,8.4,10.9,9.6
1541,Alabama,2.2,3.6,2.8,76,Mortality,2448159,All Races,Male and Female,Cervix,2009,2.4,3.9,3.1
1542,Alabama,8.1,9.1,8.6,1096,Incidence,12356437,All Races,Male and Female,Cervix,2009-2013,8.4,9.4,8.9
1543,Alabama,2.8,3.4,3.1,422,Mortality,12356437,All Races,Male and Female,Cervix,2009-2013,3.1,3.8,3.4
1544,Alabama,6.8,9.0,7.8,198,Incidence,2463573,All Races,Male and Female,Cervix,2010,7.0,9.2,8.0
1545,Alabama,2.2,3.6,2.9,77,Mortality,2463573,All Races,Male and Female,Cervix,2010,2.5,3.9,3.1
1546,Alabama,7.0,9.3,8.1,206,Incidence,2472801,All Races,Male and Female,Cervix,2011,7.2,9.5,8.3
1547,Alabama,2.7,4.2,3.4,89,Mortality,2472801,All Races,Male and Female,Cervix,2011,2.9,4.4,3.6
1548,Alabama,8.2,10.8,9.4,235,Incidence,2481503,All Races,Male and Female,Cervix,2012,8.3,10.8,9.5
1549,Alabama,2.3,3.7,2.9,78,Mortality,2481503,All Races,Male and Female,Cervix,2012,2.5,3.9,3.1
1550,Alabama,7.4,9.7,8.5,222,Incidence,2490401,All Races,Male and Female,Cervix,2013,7.8,10.2,8.9
1551,Alabama,2.9,4.4,3.6,102,Mortality,2490401,All Races,Male and Female,Cervix,2013,3.3,5.0,4.1
1552,Alabama,47.6,51.7,49.6,2247,Incidence,4430141,All Races,Male and Female,Colon and Rectum,1999,48.6,52.9,50.7
1553,Alabama,17.7,20.3,19.0,849,Mortality,4430141,All Races,Male and Female,Colon and Rectum,1999,17.9,20.5,19.2
1554,Alabama,48.4,52.6,50.5,2304,Incidence,4452173,All Races,Male and Female,Colon and Rectum,2000,49.7,53.9,51.8
1555,Alabama,18.3,20.9,19.6,888,Mortality,4452173,All Races,Male and Female,Colon and Rectum,2000,18.7,21.3,19.9
1556,Alabama,48.5,52.6,50.6,2336,Incidence,4467634,All Races,Male and Female,Colon and Rectum,2001,50.2,54.5,52.3
1557,Alabama,17.8,20.4,19.1,873,Mortality,4467634,All Races,Male and Female,Colon and Rectum,2001,18.3,20.9,19.5
1558,Alabama,48.3,52.4,50.4,2356,Incidence,4480089,All Races,Male and Female,Colon and Rectum,2002,50.5,54.8,52.6
1559,Alabama,17.4,20.0,18.7,864,Mortality,4480089,All Races,Male and Female,Colon and Rectum,2002,18.0,20.6,19.3
1560,Alabama,48.1,52.1,50.1,2376,Incidence,4503491,All Races,Male and Female,Colon and Rectum,2003,50.7,54.9,52.8
1561,Alabama,17.8,20.3,19.0,886,Mortality,4503491,All Races,Male and Female,Colon and Rectum,2003,18.4,21.0,19.7
1562,Alabama,49.4,53.5,51.4,2470,Incidence,4530729,All Races,Male and Female,Colon and Rectum,2004,52.4,56.7,54.5
1563,Alabama,18.0,20.5,19.2,908,Mortality,4530729,All Races,Male and Female,Colon and Rectum,2004,18.8,21.4,20.0
1564,Alabama,48.7,52.7,50.7,2475,Incidence,4565917,All Races,Male and Female,Colon and Rectum,2005,52.1,56.4,54.2
1565,Alabama,17.6,20.0,18.8,900,Mortality,4565917,All Races,Male and Female,Colon and Rectum,2005,18.4,21.0,19.7
1566,Alabama,47.9,51.8,49.8,2499,Incidence,4628981,All Races,Male and Female,Colon and Rectum,2006,51.9,56.1,54.0
1567,Alabama,18.6,21.2,19.9,975,Mortality,4628981,All Races,Male and Female,Colon and Rectum,2006,19.8,22.4,21.1
1568,Alabama,47.7,51.6,49.6,2524,Incidence,4672840,All Races,Male and Female,Colon and Rectum,2007,51.9,56.2,54.0
1569,Alabama,16.4,18.7,17.5,882,Mortality,4672840,All Races,Male and Female,Colon and Rectum,2007,17.6,20.2,18.9
1570,Alabama,48.6,52.6,50.6,2631,Incidence,4718206,All Races,Male and Female,Colon and Rectum,2008,53.7,57.9,55.8
1571,Alabama,17.9,20.4,19.1,979,Mortality,4718206,All Races,Male and Female,Colon and Rectum,2008,19.5,22.1,20.7
1572,Alabama,44.9,48.7,46.8,2473,Incidence,4757938,All Races,Male and Female,Colon and Rectum,2009,49.9,54.1,52.0
1573,Alabama,16.3,18.6,17.4,907,Mortality,4757938,All Races,Male and Female,Colon and Rectum,2009,17.8,20.3,19.1
1574,Alabama,43.3,44.9,44.1,12079,Incidence,23996935,All Races,Male and Female,Colon and Rectum,2009-2013,49.4,51.2,50.3
1575,Alabama,16.4,17.4,16.9,4572,Mortality,23996935,All Races,Male and Female,Colon and Rectum,2009-2013,18.5,19.6,19.1
1576,Alabama,42.4,46.0,44.1,2375,Incidence,4785822,All Races,Male and Female,Colon and Rectum,2010,47.6,51.7,49.6
1577,Alabama,15.7,18.0,16.8,894,Mortality,4785822,All Races,Male and Female,Colon and Rectum,2010,17.5,19.9,18.7
1578,Alabama,40.3,43.8,42.0,2305,Incidence,4801695,All Races,Male and Female,Colon and Rectum,2011,46.1,50.0,48.0
1579,Alabama,15.2,17.4,16.3,880,Mortality,4801695,All Races,Male and Female,Colon and Rectum,2011,17.1,19.6,18.3
1580,Alabama,42.2,45.8,44.0,2429,Incidence,4817484,All Races,Male and Female,Colon and Rectum,2012,48.4,52.5,50.4
1581,Alabama,15.4,17.5,16.4,909,Mortality,4817484,All Races,Male and Female,Colon and Rectum,2012,17.7,20.1,18.9
1582,Alabama,42.3,45.8,44.0,2497,Incidence,4833996,All Races,Male and Female,Colon and Rectum,2013,49.6,53.7,51.7
1583,Alabama,16.4,18.7,17.5,982,Mortality,4833996,All Races,Male and Female,Colon and Rectum,2013,19.1,21.6,20.3
1584,Alabama,15.8,19.1,17.4,438,Incidence,2293259,All Races,Male and Female,"Corpus and Uterus, NOS",1999,17.4,21.0,19.1
1585,Alabama,3.6,5.2,4.3,115,Mortality,2293259,All Races,Male and Female,"Corpus and Uterus, NOS",1999,4.1,6.0,5.0
1586,Alabama,15.3,18.6,16.9,435,Incidence,2302835,All Races,Male and Female,"Corpus and Uterus, NOS",2000,17.2,20.8,18.9
1587,Alabama,2.8,4.2,3.4,92,Mortality,2302835,All Races,Male and Female,"Corpus and Uterus, NOS",2000,3.2,4.9,4.0
1588,Alabama,15.1,18.3,16.6,431,Incidence,2309496,All Races,Male and Female,"Corpus and Uterus, NOS",2001,16.9,20.5,18.7
1589,Alabama,2.9,4.4,3.6,97,Mortality,2309496,All Races,Male and Female,"Corpus and Uterus, NOS",2001,3.4,5.1,4.2
1590,Alabama,13.4,16.4,14.8,391,Incidence,2314370,All Races,Male and Female,"Corpus and Uterus, NOS",2002,15.3,18.7,16.9
1591,Alabama,3.0,4.5,3.7,101,Mortality,2314370,All Races,Male and Female,"Corpus and Uterus, NOS",2002,3.6,5.3,4.4
1592,Alabama,15.7,18.9,17.2,457,Incidence,2324069,All Races,Male and Female,"Corpus and Uterus, NOS",2003,17.9,21.6,19.7
1593,Alabama,3.1,4.6,3.7,103,Mortality,2324069,All Races,Male and Female,"Corpus and Uterus, NOS",2003,3.6,5.4,4.4
1594,Alabama,15.4,18.6,17.0,457,Incidence,2337857,All Races,Male and Female,"Corpus and Uterus, NOS",2004,17.8,21.4,19.5
1595,Alabama,3.0,4.5,3.7,102,Mortality,2337857,All Races,Male and Female,"Corpus and Uterus, NOS",2004,3.6,5.3,4.4
1596,Alabama,16.0,19.2,17.6,475,Incidence,2354514,All Races,Male and Female,"Corpus and Uterus, NOS",2005,18.4,22.1,20.2
1597,Alabama,2.7,4.1,3.4,95,Mortality,2354514,All Races,Male and Female,"Corpus and Uterus, NOS",2005,3.3,4.9,4.0
1598,Alabama,16.6,19.8,18.2,508,Incidence,2385480,All Races,Male and Female,"Corpus and Uterus, NOS",2006,19.5,23.2,21.3
1599,Alabama,2.3,3.6,2.9,83,Mortality,2385480,All Races,Male and Female,"Corpus and Uterus, NOS",2006,2.8,4.3,3.5
1600,Alabama,17.2,20.4,18.7,529,Incidence,2407275,All Races,Male and Female,"Corpus and Uterus, NOS",2007,20.1,23.9,22.0
1601,Alabama,2.7,4.1,3.4,98,Mortality,2407275,All Races,Male and Female,"Corpus and Uterus, NOS",2007,3.3,5.0,4.1
1602,Alabama,17.3,20.6,18.9,550,Incidence,2430257,All Races,Male and Female,"Corpus and Uterus, NOS",2008,20.8,24.6,22.6
1603,Alabama,3.1,4.6,3.8,114,Mortality,2430257,All Races,Male and Female,"Corpus and Uterus, NOS",2008,3.9,5.6,4.7
1604,Alabama,16.8,20.0,18.4,541,Incidence,2448159,All Races,Male and Female,"Corpus and Uterus, NOS",2009,20.3,24.0,22.1
1605,Alabama,2.9,4.3,3.5,106,Mortality,2448159,All Races,Male and Female,"Corpus and Uterus, NOS",2009,3.5,5.2,4.3
1606,Alabama,18.0,19.4,18.7,2858,Incidence,12356437,All Races,Male and Female,"Corpus and Uterus, NOS",2009-2013,22.3,24.0,23.1
1607,Alabama,3.1,3.7,3.4,533,Mortality,12356437,All Races,Male and Female,"Corpus and Uterus, NOS",2009-2013,4.0,4.7,4.3
1608,Alabama,17.9,21.2,19.5,585,Incidence,2463573,All Races,Male and Female,"Corpus and Uterus, NOS",2010,21.9,25.8,23.7
1609,Alabama,2.8,4.2,3.4,105,Mortality,2463573,All Races,Male and Female,"Corpus and Uterus, NOS",2010,3.5,5.2,4.3
1610,Alabama,16.6,19.8,18.1,554,Incidence,2472801,All Races,Male and Female,"Corpus and Uterus, NOS",2011,20.6,24.3,22.4
1611,Alabama,3.0,4.4,3.6,111,Mortality,2472801,All Races,Male and Female,"Corpus and Uterus, NOS",2011,3.7,5.4,4.5
1612,Alabama,17.1,20.2,18.6,582,Incidence,2481503,All Races,Male and Female,"Corpus and Uterus, NOS",2012,21.6,25.4,23.5
1613,Alabama,2.4,3.6,3.0,97,Mortality,2481503,All Races,Male and Female,"Corpus and Uterus, NOS",2012,3.2,4.8,3.9
1614,Alabama,17.2,20.3,18.7,596,Incidence,2490401,All Races,Male and Female,"Corpus and Uterus, NOS",2013,22.0,25.9,23.9
1615,Alabama,2.9,4.3,3.5,114,Mortality,2490401,All Races,Male and Female,"Corpus and Uterus, NOS",2013,3.8,5.5,4.6
1616,Alabama,3.9,5.1,4.5,204,Incidence,4430141,All Races,Male and Female,Esophagus,1999,4.0,5.3,4.6
1617,Alabama,2.8,3.9,3.3,152,Mortality,4430141,All Races,Male and Female,Esophagus,1999,2.9,4.0,3.4
1618,Alabama,4.0,5.2,4.6,212,Incidence,4452173,All Races,Male and Female,Esophagus,2000,4.1,5.4,4.8
1619,Alabama,3.5,4.6,4.0,186,Mortality,4452173,All Races,Male and Female,Esophagus,2000,3.6,4.8,4.2
1620,Alabama,4.2,5.5,4.8,226,Incidence,4467634,All Races,Male and Female,Esophagus,2001,4.4,5.8,5.1
1621,Alabama,3.7,4.9,4.3,199,Mortality,4467634,All Races,Male and Female,Esophagus,2001,3.9,5.1,4.5
1622,Alabama,4.1,5.3,4.6,222,Incidence,4480089,All Races,Male and Female,Esophagus,2002,4.3,5.7,5.0
1623,Alabama,3.4,4.6,3.9,188,Mortality,4480089,All Races,Male and Female,Esophagus,2002,3.6,4.8,4.2
1624,Alabama,4.4,5.7,5.0,243,Incidence,4503491,All Races,Male and Female,Esophagus,2003,4.7,6.1,5.4
1625,Alabama,3.5,4.6,4.0,195,Mortality,4503491,All Races,Male and Female,Esophagus,2003,3.7,5.0,4.3
1626,Alabama,4.1,5.3,4.7,228,Incidence,4530729,All Races,Male and Female,Esophagus,2004,4.4,5.7,5.0
1627,Alabama,3.8,4.9,4.3,211,Mortality,4530729,All Races,Male and Female,Esophagus,2004,4.0,5.3,4.7
1628,Alabama,4.3,5.6,4.9,246,Incidence,4565917,All Races,Male and Female,Esophagus,2005,4.7,6.1,5.4
1629,Alabama,2.9,4.0,3.4,168,Mortality,4565917,All Races,Male and Female,Esophagus,2005,3.1,4.3,3.7
1630,Alabama,4.2,5.4,4.7,243,Incidence,4628981,All Races,Male and Female,Esophagus,2006,4.6,6.0,5.2
1631,Alabama,3.6,4.7,4.1,209,Mortality,4628981,All Races,Male and Female,Esophagus,2006,3.9,5.2,4.5
1632,Alabama,4.5,5.8,5.1,267,Incidence,4672840,All Races,Male and Female,Esophagus,2007,5.0,6.4,5.7
1633,Alabama,3.8,4.9,4.3,224,Mortality,4672840,All Races,Male and Female,Esophagus,2007,4.2,5.5,4.8
1634,Alabama,4.1,5.3,4.7,253,Incidence,4718206,All Races,Male and Female,Esophagus,2008,4.7,6.1,5.4
1635,Alabama,3.3,4.4,3.8,207,Mortality,4718206,All Races,Male and Female,Esophagus,2008,3.8,5.0,4.4
1636,Alabama,4.4,5.6,5.0,272,Incidence,4757938,All Races,Male and Female,Esophagus,2009,5.1,6.4,5.7
1637,Alabama,3.3,4.3,3.8,203,Mortality,4757938,All Races,Male and Female,Esophagus,2009,3.7,4.9,4.3
1638,Alabama,4.5,5.0,4.8,1350,Incidence,23996935,All Races,Male and Female,Esophagus,2009-2013,5.3,5.9,5.6
1639,Alabama,3.8,4.3,4.0,1126,Mortality,23996935,All Races,Male and Female,Esophagus,2009-2013,4.4,5.0,4.7
1640,Alabama,4.2,5.4,4.8,265,Incidence,4785822,All Races,Male and Female,Esophagus,2010,4.9,6.2,5.5
1641,Alabama,3.7,4.8,4.2,233,Mortality,4785822,All Races,Male and Female,Esophagus,2010,4.3,5.5,4.9
1642,Alabama,4.4,5.5,4.9,280,Incidence,4801695,All Races,Male and Female,Esophagus,2011,5.2,6.6,5.8
1643,Alabama,3.5,4.6,4.0,228,Mortality,4801695,All Races,Male and Female,Esophagus,2011,4.2,5.4,4.7
1644,Alabama,4.0,5.1,4.5,259,Incidence,4817484,All Races,Male and Female,Esophagus,2012,4.7,6.1,5.4
1645,Alabama,3.9,5.0,4.4,250,Mortality,4817484,All Races,Male and Female,Esophagus,2012,4.6,5.9,5.2
1646,Alabama,4.1,5.2,4.6,274,Incidence,4833996,All Races,Male and Female,Esophagus,2013,5.0,6.4,5.7
1647,Alabama,3.1,4.2,3.6,212,Mortality,4833996,All Races,Male and Female,Esophagus,2013,3.8,5.0,4.4
1648,Alabama,117.5,126.3,121.8,3010,Incidence,2293259,All Races,Male and Female,Female Breast,1999,126.6,136.0,131.3
1649,Alabama,23.7,27.7,25.7,653,Mortality,2293259,All Races,Male and Female,Female Breast,1999,26.3,30.7,28.5
1650,Alabama,113.4,122.0,117.7,2966,Incidence,2302835,All Races,Male and Female,Female Breast,2000,124.2,133.5,128.8
1651,Alabama,24.7,28.7,26.7,691,Mortality,2302835,All Races,Male and Female,Female Breast,2000,27.8,32.3,30.0
1652,Alabama,117.6,126.2,121.8,3099,Incidence,2309496,All Races,Male and Female,Female Breast,2001,129.5,139.0,134.2
1653,Alabama,26.6,30.7,28.6,748,Mortality,2309496,All Races,Male and Female,Female Breast,2001,30.1,34.8,32.4
1654,Alabama,114.9,123.4,119.1,3054,Incidence,2314370,All Races,Male and Female,Female Breast,2002,127.3,136.7,132.0
1655,Alabama,23.7,27.6,25.6,681,Mortality,2314370,All Races,Male and Female,Female Breast,2002,27.3,31.7,29.4
1656,Alabama,107.5,115.8,111.6,2892,Incidence,2324069,All Races,Male and Female,Female Breast,2003,119.9,129.1,124.4
1657,Alabama,23.5,27.4,25.4,679,Mortality,2324069,All Races,Male and Female,Female Breast,2003,27.1,31.5,29.2
1658,Alabama,107.5,115.7,111.5,2930,Incidence,2337857,All Races,Male and Female,Female Breast,2004,120.8,130.0,125.3
1659,Alabama,22.4,26.2,24.2,651,Mortality,2337857,All Races,Male and Female,Female Breast,2004,25.7,30.1,27.8
1660,Alabama,110.9,119.1,114.9,3079,Incidence,2354514,All Races,Male and Female,Female Breast,2005,126.2,135.5,130.8
1661,Alabama,25.5,29.4,27.4,751,Mortality,2354514,All Races,Male and Female,Female Breast,2005,29.7,34.3,31.9
1662,Alabama,115.7,124.1,119.9,3244,Incidence,2385480,All Races,Male and Female,Female Breast,2006,131.3,140.8,136.0
1663,Alabama,21.8,25.5,23.6,660,Mortality,2385480,All Races,Male and Female,Female Breast,2006,25.6,29.9,27.7
1664,Alabama,113.8,122.0,117.8,3251,Incidence,2407275,All Races,Male and Female,Female Breast,2007,130.4,139.8,135.0
1665,Alabama,22.4,26.1,24.2,682,Mortality,2407275,All Races,Male and Female,Female Breast,2007,26.2,30.5,28.3
1666,Alabama,118.4,126.8,122.5,3445,Incidence,2430257,All Races,Male and Female,Female Breast,2008,137.1,146.6,141.8
1667,Alabama,21.6,25.2,23.3,686,Mortality,2430257,All Races,Male and Female,Female Breast,2008,26.2,30.4,28.2
1668,Alabama,116.4,124.6,120.5,3442,Incidence,2448159,All Races,Male and Female,Female Breast,2009,135.9,145.4,140.6
1669,Alabama,20.3,23.8,22.0,645,Mortality,2448159,All Races,Male and Female,Female Breast,2009,24.4,28.5,26.3
1670,Alabama,117.5,121.1,119.3,17529,Incidence,12356437,All Races,Male and Female,Female Breast,2009-2013,139.8,144.0,141.9
1671,Alabama,21.4,23.0,22.2,3340,Mortality,12356437,All Races,Male and Female,Female Breast,2009-2013,26.1,28.0,27.0
1672,Alabama,113.7,121.8,117.7,3421,Incidence,2463573,All Races,Male and Female,Female Breast,2010,134.2,143.6,138.9
1673,Alabama,21.7,25.3,23.5,696,Mortality,2463573,All Races,Male and Female,Female Breast,2010,26.2,30.4,28.3
1674,Alabama,113.5,121.5,117.5,3452,Incidence,2472801,All Races,Male and Female,Female Breast,2011,135.0,144.3,139.6
1675,Alabama,19.8,23.2,21.4,647,Mortality,2472801,All Races,Male and Female,Female Breast,2011,24.2,28.3,26.2
1676,Alabama,116.0,124.1,120.0,3565,Incidence,2481503,All Races,Male and Female,Female Breast,2012,139.0,148.5,143.7
1677,Alabama,21.1,24.6,22.8,691,Mortality,2481503,All Races,Male and Female,Female Breast,2012,25.8,30.0,27.8
1678,Alabama,116.7,124.7,120.6,3649,Incidence,2490401,All Races,Male and Female,Female Breast,2013,141.8,151.4,146.5
1679,Alabama,19.7,23.1,21.4,661,Mortality,2490401,All Races,Male and Female,Female Breast,2013,24.6,28.6,26.5
1680,Alabama,22.5,26.5,24.4,595,Incidence,2293259,All Races,Male and Female,"Female Breast, <i>in situ</i>",1999,23.9,28.1,25.9
1681,Alabama,22.5,26.4,24.4,604,Incidence,2302835,All Races,Male and Female,"Female Breast, <i>in situ</i>",2000,24.2,28.4,26.2
1682,Alabama,23.7,27.8,25.7,646,Incidence,2309496,All Races,Male and Female,"Female Breast, <i>in situ</i>",2001,25.9,30.2,28.0
1683,Alabama,25.6,29.7,27.6,706,Incidence,2314370,All Races,Male and Female,"Female Breast, <i>in situ</i>",2002,28.3,32.8,30.5
1684,Alabama,23.2,27.1,25.1,649,Incidence,2324069,All Races,Male and Female,"Female Breast, <i>in situ</i>",2003,25.8,30.2,27.9
1685,Alabama,23.7,27.7,25.6,672,Incidence,2337857,All Races,Male and Female,"Female Breast, <i>in situ</i>",2004,26.6,31.0,28.7
1686,Alabama,22.2,26.0,24.1,645,Incidence,2354514,All Races,Male and Female,"Female Breast, <i>in situ</i>",2005,25.3,29.6,27.4
1687,Alabama,24.4,28.4,26.4,718,Incidence,2385480,All Races,Male and Female,"Female Breast, <i>in situ</i>",2006,27.9,32.4,30.1
1688,Alabama,28.1,32.3,30.1,838,Incidence,2407275,All Races,Male and Female,"Female Breast, <i>in situ</i>",2007,32.5,37.3,34.8
1689,Alabama,23.5,27.3,25.3,714,Incidence,2430257,All Races,Male and Female,"Female Breast, <i>in situ</i>",2008,27.3,31.6,29.4
1690,Alabama,25.3,29.3,27.2,772,Incidence,2448159,All Races,Male and Female,"Female Breast, <i>in situ</i>",2009,29.3,33.8,31.5
1691,Alabama,25.6,27.3,26.5,3898,Incidence,12356437,All Races,Male and Female,"Female Breast, <i>in situ</i>",2009-2013,30.6,32.6,31.5
1692,Alabama,24.5,28.3,26.4,771,Incidence,2463573,All Races,Male and Female,"Female Breast, <i>in situ</i>",2010,29.1,33.6,31.3
1693,Alabama,24.1,27.9,25.9,763,Incidence,2472801,All Races,Male and Female,"Female Breast, <i>in situ</i>",2011,28.7,33.1,30.9
1694,Alabama,24.6,28.4,26.5,801,Incidence,2481503,All Races,Male and Female,"Female Breast, <i>in situ</i>",2012,30.1,34.6,32.3
1695,Alabama,24.5,28.3,26.3,791,Incidence,2490401,All Races,Male and Female,"Female Breast, <i>in situ</i>",2013,29.6,34.1,31.8
1696,Alabama,1.5,2.4,1.9,85,Incidence,4430141,All Races,Male and Female,Hodgkin Lymphoma,1999,1.5,2.4,1.9
1697,Alabama,0.4,0.9,0.6,29,Mortality,4430141,All Races,Male and Female,Hodgkin Lymphoma,1999,0.4,0.9,0.7
1698,Alabama,2.0,3.0,2.5,110,Incidence,4452173,All Races,Male and Female,Hodgkin Lymphoma,2000,2.0,3.0,2.5
1699,Alabama,0.2,0.6,0.4,17,Mortality,4452173,All Races,Male and Female,Hodgkin Lymphoma,2000,0.2,0.6,0.4
1700,Alabama,1.9,2.9,2.4,106,Incidence,4467634,All Races,Male and Female,Hodgkin Lymphoma,2001,1.9,2.9,2.4
1701,Alabama,0.3,0.7,0.5,21,Mortality,4467634,All Races,Male and Female,Hodgkin Lymphoma,2001,0.3,0.7,0.5
1702,Alabama,2.2,3.1,2.6,119,Incidence,4480089,All Races,Male and Female,Hodgkin Lymphoma,2002,2.2,3.2,2.7
1703,Alabama,0.3,0.8,0.5,23,Mortality,4480089,All Races,Male and Female,Hodgkin Lymphoma,2002,0.3,0.8,0.5
1704,Alabama,1.9,2.9,2.4,106,Incidence,4503491,All Races,Male and Female,Hodgkin Lymphoma,2003,1.9,2.8,2.4
1705,Alabama,0.3,0.8,0.5,25,Mortality,4503491,All Races,Male and Female,Hodgkin Lymphoma,2003,0.4,0.8,0.6
1706,Alabama,1.9,2.9,2.4,107,Incidence,4530729,All Races,Male and Female,Hodgkin Lymphoma,2004,1.9,2.9,2.4
1707,Alabama,0.2,0.6,0.4,20,Mortality,4530729,All Races,Male and Female,Hodgkin Lymphoma,2004,0.3,0.7,0.4
1708,Alabama,2.3,3.3,2.8,127,Incidence,4565917,All Races,Male and Female,Hodgkin Lymphoma,2005,2.3,3.3,2.8
1709,Alabama,0.3,0.7,0.5,21,Mortality,4565917,All Races,Male and Female,Hodgkin Lymphoma,2005,0.3,0.7,0.5
1710,Alabama,1.9,2.8,2.3,108,Incidence,4628981,All Races,Male and Female,Hodgkin Lymphoma,2006,1.9,2.8,2.3
1711,Alabama,0.2,0.6,0.4,18,Mortality,4628981,All Races,Male and Female,Hodgkin Lymphoma,2006,0.2,0.6,0.4
1712,Alabama,1.9,2.8,2.3,111,Incidence,4672840,All Races,Male and Female,Hodgkin Lymphoma,2007,2.0,2.9,2.4
1713,Alabama,0.2,0.6,0.4,17,Mortality,4672840,All Races,Male and Female,Hodgkin Lymphoma,2007,0.2,0.6,0.4
1714,Alabama,2.1,3.1,2.6,124,Incidence,4718206,All Races,Male and Female,Hodgkin Lymphoma,2008,2.2,3.1,2.6
1715,Alabama,0.3,0.7,0.4,21,Mortality,4718206,All Races,Male and Female,Hodgkin Lymphoma,2008,0.3,0.7,0.4
1716,Alabama,2.3,3.3,2.7,130,Incidence,4757938,All Races,Male and Female,Hodgkin Lymphoma,2009,2.3,3.2,2.7
1717,Alabama,0.2,0.6,0.4,20,Mortality,4757938,All Races,Male and Female,Hodgkin Lymphoma,2009,0.3,0.6,0.4
1718,Alabama,2.1,2.5,2.3,559,Incidence,23996935,All Races,Male and Female,Hodgkin Lymphoma,2009-2013,2.1,2.5,2.3
1719,Alabama,0.3,0.5,0.4,100,Mortality,23996935,All Races,Male and Female,Hodgkin Lymphoma,2009-2013,0.3,0.5,0.4
1720,Alabama,2.0,2.9,2.4,115,Incidence,4785822,All Races,Male and Female,Hodgkin Lymphoma,2010,2.0,2.9,2.4
